Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji	dbh_mm	h_dm
49888	46655.78	22864.16	5.237	3.613706	3.061	3.763	4.2534	4.6276	0.291892	0.443243	0.697297	0.963964	orapihlaja	148	66
49889	46658.74	22860.04	5.769	3.892953	3.1956	4	4.4746	5.3312	0.259928	0.422383	0.66426	0.783394	orapihlaja	167	NA
49890	46660.84	22857.05	5.681	4.254574	3.8861	4.317	4.7334	5.1403	0.08284	0.278107	0.591716	0.946746	orapihlaja	184	68
49891	46674.9	22826.36	6.933	5.206082	4.8014	5.433	5.8236	6.181	0.028235	0.148235	0.352941	0.698824	orapihlaja	252	NA
49892	46677.46	22821.14	7.214	4.907618	4.188	5.004	5.7714	6.3598	0.14841	0.378092	0.657244	0.975265	orapihlaja	197	81
50694	50672.74	19004.27	4.364	3.194278	2.9215	3.1335	3.4784	4.1269	0.222222	0.444444	0.666667	0.833333	lehmus	122	63
51008	50505.73	19293.12	5.632	3.243707	2.6624	3.017	3.5505	4.5389	0.532609	0.782609	0.891304	0.967391	lehmus	150	NA
51029	50640.77	20398.35	10.903	8.191199	7.5651	8.479	9.119	9.9073	0.028261	0.090761	0.344565	0.786957	vaahtera	355	125
51034	48116.98	19937.35	15.127	7.727391	5.19	7.722	9.87	12.652	0.351882	0.589198	0.810147	0.927987	lehmus	313	NA
51036	48242.31	19183.44	18.918	12.281778	10.204	12.484	14.6084	16.9942	0.104239	0.312022	0.601807	0.909659	lehmus	492	NA
51038	48238.42	19200.82	18.387	12.640158	10.5045	13.3195	14.632	16.889	0.045208	0.289331	0.507233	0.875226	lehmus	448	NA
51096	50965	22106.34	4.654	3.061694	2.5715	3.071	3.4675	4.187	0.416667	0.611111	0.805556	0.944444	lehmus	104	56
51098	50970.37	22108.68	4.786	3.261857	2.688	2.984	3.918	4.449	0.428571	0.619048	0.714286	0.904762	lehmus	108	NA
51100	50993.93	22123.08	5.469	3.507882	2.7045	3.3285	4.301	4.829	0.382353	0.573529	0.705882	0.926471	lehmus	112	68
51102	50998.69	22125.41	9.527	3.964619	2.7249	3.374	4.3636	5.3823	0.642857	0.904762	0.904762	0.904762	lehmus	113	NA
51104	51004.58	22131.66	5.273	3.617938	2.8037	3.7445	4.3178	4.7948	0.375	0.479167	0.666667	0.916667	lehmus	118	68
51106	51009.74	22136.9	5.534	3.441462	2.668	3.254	4.1478	5.0986	0.446154	0.676923	0.769231	0.907692	lehmus	132	NA
51108	51015.1	22141.07	5.285	3.50518	2.5655	3.5505	4.2294	4.8321	0.42	0.56	0.74	0.94	lehmus	123	67
51110	51020.71	22145.76	5.789	3.375561	2.524	2.975	4.2208	4.9886	0.526316	0.666667	0.807018	0.982456	lehmus	127	NA
51112	51025.58	22150.33	5.984	3.544692	2.5824	3.4325	4.3743	5	0.461538	0.596154	0.807692	0.961538	lehmus	133	77
51114	51030.9	22155.12	5.916	3.616792	2.9248	3.371	4.2174	5.1266	0.415094	0.660377	0.773585	0.943396	lehmus	119	NA
51116	51038	22159.81	9.57	4.290324	3.0502	3.968	4.5168	6.9252	0.594595	0.891892	0.891892	0.891892	lehmus	114	73
51118	51040.71	22165.37	5.297	3.683296	3.2792	3.628	4.0264	4.8648	0.222222	0.481481	0.703704	0.888889	lehmus	133	NA
51120	51040.04	22175.06	4.527	3.419692	3.101	3.4495	3.6975	4.1075	0.076923	0.230769	0.5	0.730769	lehmus	104	61
51122	51034.65	22170.38	5.483	3.555464	3.1477	3.4845	3.8418	4.3836	0.142857	0.571429	0.785714	0.964286	lehmus	115	NA
51124	51032.11	22165.88	9.278	4.042056	2.9625	3.955	4.4585	5.129	0.527778	0.944444	0.944444	0.944444	lehmus	113	69
51126	51025.8	22161.34	5.476	3.3983	2.7975	3.3355	3.6662	4.417	0.36	0.7	0.88	0.94	lehmus	118	NA
51128	51019.74	22156.11	4.767	3.441739	3.048	3.47	3.8444	4.2458	0.173913	0.434783	0.608696	0.826087	lehmus	196	54
51130	51015.15	22151.65	5.679	3.5345	2.9365	3.379	3.7927	4.8901	0.363636	0.704545	0.840909	0.954545	lehmus	126	NA
51132	51009.61	22147.02	5.665	3.5463	2.8172	3.5395	4.1168	4.9176	0.35	0.65	0.8	0.975	lehmus	139	71
51134	51004.73	22142.83	5.723	3.778433	3.1542	3.7005	4.3893	5.0475	0.25	0.55	0.716667	0.95	lehmus	123	NA
51138	50994.53	22133.32	5.044	3.448614	3.0738	3.431	3.911	4.3146	0.22807	0.578947	0.789474	0.947368	lehmus	112	NA
51140	50988.6	22129.46	5.422	3.733429	3.0122	3.319	4.4226	4.9266	0.2	0.514286	0.628571	0.771429	lehmus	117	73
51142	50983.16	22124.62	5.215	3.473692	2.96	3.48	3.9004	4.6072	0.282051	0.538462	0.769231	0.923077	lehmus	106	NA
51144	50979.56	22122.16	4.559	3.313214	2.999	3.3995	3.7248	4.1398	0.25	0.392857	0.714286	0.928571	lehmus	97	55
