Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7237	47936.45	17513.22	6.562	4.110088	3.5953	3.9255	4.3443	5.4716	0.108108	0.52027	0.783784	0.905405	lehmus
7238	47927.21	17511.44	5.763	3.994424	3.585	3.997	4.5058	4.913	0.101695	0.423729	0.661017	0.915254	lehmus
7239	47917.5	17507.65	5.583	3.89934	3.568	3.8575	4.3082	4.9301	0.117021	0.351064	0.680851	0.904255	lehmus
7240	47907.5	17506.99	6.874	4.229981	3.6859	4.1675	4.5654	5.5043	0.134615	0.461538	0.826923	0.932692	lehmus
7241	47897.05	17504.31	6.837	4.47115	3.78	4.4	5.0772	5.784	0.12782	0.413534	0.684211	0.917293	lehmus
7242	47887.34	17502.64	7.333	4.531802	3.9996	4.463	5.0585	5.7455	0.145349	0.406977	0.767442	0.953488	lehmus
7243	47870.43	17499.16	7.22	4.181848	3.4752	3.964	4.7274	5.5393	0.294643	0.620536	0.857143	0.964286	lehmus
7244	47860.58	17497.06	7.252	4.31926	3.648	4.1675	4.8115	5.558	0.163265	0.540816	0.80102	0.928571	lehmus
7245	47850.58	17495.28	7.005	4.325961	3.722	4.265	4.8008	5.486	0.163399	0.509804	0.810458	0.934641	lehmus
7246	47841.52	17492.4	5.397	3.947386	3.3768	4.031	4.3644	4.8204	0.108434	0.349398	0.638554	0.915663	lehmus
7248	47920.47	17782.51	7.585	5.187915	4.782	5.243	5.622	6.22	0.028169	0.211268	0.619718	0.901408	lehmus
7249	47913.81	17782.28	7.566	4.872356	4.1814	4.765	5.4996	6.3786	0.050847	0.40678	0.610169	0.847458	lehmus
7251	47899.08	17780.94	7.699	4.620988	3.82	4.725	5.275	5.804	0.160494	0.444444	0.790123	0.962963	lehmus
7252	47892.48	17780.06	6.484	4.885917	4.3413	4.957	5.469	5.8668	0.020833	0.083333	0.333333	0.5625	lehmus
7253	47884.2	17779.48	7.829	4.952388	4.237	4.806	5.2808	6.3892	0.020408	0.306122	0.673469	0.816327	lehmus
